epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.2444,3.34333,4.87466,3.32211,1.75586,0.37367,0.04781,0.21148,0.12648,0.3587,0.04528,0.20224,0.0886,2.97275,4.8312,2.87864,1.4755,0.000545182,0.000545182,0.000545182
2,235.854,2.65107,4.28766,2.00359,1.40294,0.32147,0.05659,0.18886,0.10573,0.3015,0.05307,0.1759,0.0704,2.72311,4.49219,2.36937,1.40636,0.00104636,0.00104636,0.00104636
3,423.999,2.61794,4.17613,1.86088,1.3377,0.31948,0.04769,0.17408,0.10354,0.28616,0.0443,0.15624,0.06733,2.75284,4.92052,5.56252,1.35823,0.00149252,0.00149252,0.00149252
4,613.125,2.70937,4.17588,1.843,1.28806,0.43213,0.0592,0.24638,0.13494,0.37921,0.05187,0.21263,0.07692,2.7012,4.94779,1.92753,1.3032,0.00141945,0.00141945,0.00141945
5,815.454,2.63872,4.18774,1.90983,1.28202,0.62343,0.04424,0.3337,0.20986,0.60886,0.04297,0.32592,0.15061,2.64694,4.48464,1.61656,1.25707,0.00133693,0.00133693,0.00133693
6,1117.9,2.53481,3.94637,1.67802,1.26696,0.60471,0.05093,0.32849,0.20756,0.59022,0.0494,0.32061,0.15636,2.53837,4.07066,1.54218,1.2494,0.00125442,0.00125442,0.00125442
7,1508.16,2.43499,3.91522,1.56815,1.20208,0.4845,0.05436,0.26926,0.17569,0.47941,0.05379,0.26626,0.13223,2.52919,3.96617,1.64711,1.22944,0.0011719,0.0011719,0.0011719
8,1895.66,2.5362,3.88837,1.61569,1.20284,0.51348,0.04818,0.27871,0.18743,0.50263,0.04701,0.27295,0.13736,2.48472,3.8714,1.74699,1.20139,0.00108938,0.00108938,0.00108938
9,2589.15,2.44573,3.822,1.53697,1.17469,0.73088,0.02632,0.37978,0.2294,0.70698,0.02505,0.36731,0.19475,2.45798,3.76276,1.45553,1.17699,0.00100687,0.00100687,0.00100687
10,3497.18,2.25445,3.68004,1.43289,1.15022,0.48077,0.02929,0.25546,0.16954,0.47659,0.02903,0.25327,0.13222,2.47098,3.93073,1.46284,1.19423,0.000924352,0.000924352,0.000924352
11,4085.88,2.52484,3.84952,1.77094,1.17977,0.48906,0.02959,0.25952,0.18469,0.47643,0.02883,0.25299,0.1311,2.37318,3.69763,1.49853,1.15436,0.000841835,0.000841835,0.000841835
12,4621.08,2.38293,3.65793,1.64452,1.16609,0.46768,0.03611,0.25261,0.16795,0.4558,0.03519,0.24621,0.12371,2.39721,3.63069,1.48847,1.15788,0.000759318,0.000759318,0.000759318
13,7325.32,2.37903,3.61376,1.59803,1.16036,0.72597,0.04241,0.38521,0.27298,0.71776,0.0417,0.38077,0.20782,2.35498,3.57578,1.3949,1.13837,0.000676802,0.000676802,0.000676802
