epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1969,3.17908,5.22451,4.17088,1.98728,0.6986,0.04905,0.10093,0.04827,0.1773,0.04956,0.10028,0.04007,2.35144,3.94514,6.67299,1.33592,0.00010002,0.00010002,0.00010002
2,104,2.49655,4.3456,2.21958,1.51605,0.15432,0.04115,0.08641,0.0476,0.14324,0.03691,0.08051,0.03154,2.10799,4.48467,7.69111,1.30109,0.000195256,0.000195256,0.000195256
3,171.261,2.47581,4.20645,1.80757,1.32709,0.33038,0.05773,0.18242,0.11656,0.31429,0.05333,0.17387,0.07928,1.98964,4.2386,10.5712,1.22993,0.000267387,0.000267387,0.000267387
4,246.065,2.37206,4.07086,1.57455,1.23177,0.3709,0.0671,0.20595,0.13245,0.37042,0.06473,0.2057,0.10741,1.87878,3.59394,8.08215,1.17547,0.000316413,0.000316413,0.000316413
5,317.219,2.19384,3.84133,1.30065,1.18322,0.3262,0.07925,0.18583,0.11664,0.33315,0.0649,0.17668,0.08312,1.85318,3.61049,3.4707,1.14583,0.000342335,0.000342335,0.000342335
6,401.812,2.16646,3.7027,1.35405,1.1435,0.35454,0.04278,0.19469,0.12862,0.34229,0.03865,0.18818,0.10028,1.87608,3.64007,2.86894,1.13363,0.000345152,0.000345152,0.000345152
7,489.236,2.10194,3.61198,1.25313,1.13977,0.27248,0.04357,0.15855,0.09875,0.268,0.04256,0.15558,0.07565,1.86132,3.54799,1.76509,1.11965,0.000324865,0.000324865,0.000324865
8,578.431,2.04206,3.5713,1.20543,1.12664,0.35172,0.05248,0.19988,0.12058,0.34772,0.05182,0.19686,0.09404,1.77125,3.38847,1.46746,1.09972,0.000281473,0.000281473,0.000281473
9,671.78,1.93096,3.52612,1.1545,1.11108,0.51054,0.04967,0.27827,0.17437,0.50371,0.0495,0.27394,0.14117,1.75899,3.24723,1.1982,1.10633,0.000214976,0.000214976,0.000214976
10,771.535,2.05567,3.54984,1.20308,1.11762,0.57492,0.05206,0.31245,0.19772,0.56195,0.05084,0.30568,0.16398,1.75998,3.19729,1.11593,1.10041,0.000125375,0.000125375,0.000125375
